Node,Port
BXGARCS1,GigabitEthernet1/1/0
BXGARCS1,GigabitEthernet8/1/0
BXGARCS1,GigabitEthernet1/0/0
BXGARCS1,GigabitEthernet1/1/1
BXGARCS1,GigabitEthernet3/0/0
BXGARCS1,GigabitEthernet3/2/0
BXGARCS1,GigabitEthernet3/2/1
BXGARCS1,GigabitEthernet8/0/0
BXGARCS2,GigabitEthernet1/0/0
BXGARCS2,GigabitEthernet1/1/1
BXGARCS2,GigabitEthernet3/0/0
BXGARCS2,GigabitEthernet3/2/0
BXGARCS2,GigabitEthernet3/2/1
BXGARCS2,GigabitEthernet8/0/0
BXGARDN1,GigabitEthernet1/0/0
BXGARDN1,GigabitEthernet10/0/0
BXGARDN1,GigabitEthernet10/1/0
BXGARDN1,GigabitEthernet10/1/1
